stop_name,daytime_routes,line,borough,structure,gtfs_longitude,gtfs_latitude,date,entries
Astoria - Ditmars Blvd,N W,Astoria,Q,Elevated,-73.912034,40.775036,2019-07-04,8111
Hewes St,J M,Jamaica,Bk,Elevated,-73.953431,40.70687,2019-07-04,1950
Marcy Av,J M Z,Jamaica,Bk,Elevated,-73.957757,40.708359,2019-07-04,8119
Bowery,J Z,Jamaica,M,Subway,-73.993915,40.72028,2019-07-04,3254
Broad St,J Z,Jamaica,M,Subway,-74.011056,40.706476,2019-07-04,2846
Middle Village - Metropolitan Av,M,Myrtle Av,Q,Elevated,-73.889601,40.711396,2019-07-04,1467
Fresh Pond Rd,M,Myrtle Av,Q,Elevated,-73.895877,40.706186,2019-07-04,2831
Forest Av,M,Myrtle Av,Q,Elevated,-73.903077,40.704423,2019-07-04,2158
Seneca Av,M,Myrtle Av,Q,Elevated,-73.90774,40.702762,2019-07-04,1781
Knickerbocker Av,M,Myrtle Av,Bk,Elevated,-73.919711,40.698664,2019-07-04,2750
Central Av,M,Myrtle Av,Bk,Elevated,-73.927397,40.697857,2019-07-04,2326
3 Av,L,Canarsie,M,Subway,-73.986122,40.732849,2019-07-04,2997
1 Av,L,Canarsie,M,Subway,-73.981628,40.730953,2019-07-04,9425
Bedford Av,L,Canarsie,Bk,Subway,-73.956872,40.717304,2019-07-04,12672
Graham Av,L,Canarsie,Bk,Subway,-73.944053,40.714565,2019-07-04,3818
Grand St,L,Canarsie,Bk,Subway,-73.94067,40.711926,2019-07-04,2967
Montrose Av,L,Canarsie,Bk,Subway,-73.93985,40.707739,2019-07-04,3489
Morgan Av,L,Canarsie,Bk,Subway,-73.933147,40.706152,2019-07-04,3743
Jefferson St,L,Canarsie,Bk,Subway,-73.922913,40.706607,2019-07-04,5009
DeKalb Av,L,Canarsie,Bk,Subway,-73.918425,40.703811,2019-07-04,5884
Halsey St,L,Canarsie,Q,Subway,-73.904084,40.695602,2019-07-04,4129
28 St,R W,Broadway - Brighton,M,Subway,-73.988691,40.745494,2019-07-04,5433
Wilson Av,L,Canarsie,Bk,Subway,-73.904046,40.688764,2019-07-04,2697
Bushwick Av - Aberdeen St,L,Canarsie,Bk,Subway,-73.905249,40.682829,2019-07-04,1123
Atlantic Av,L,Canarsie,Bk,Elevated,-73.903097,40.675345,2019-07-04,753
Sutter Av,L,Canarsie,Bk,Elevated,-73.901975,40.669367,2019-07-04,1901
Livonia Av,L,Canarsie,Bk,Elevated,-73.900571,40.664038,2019-07-04,1623
New Lots Av,L,Canarsie,Bk,Elevated,-73.899232,40.658733,2019-07-04,2068
E 105 St,L,Canarsie,Bk,At Grade,-73.899485,40.650573,2019-07-04,1602
Canarsie - Rockaway Pkwy,L,Canarsie,Bk,At Grade,-73.90185,40.646654,2019-07-04,5444
23 St,R W,Broadway - Brighton,M,Subway,-73.989344,40.741303,2019-07-04,9348
Park Pl,S,Franklin Shuttle,Bk,Open Cut,-73.957624,40.674772,2019-07-04,1090
Inwood - 207 St,A,8th Av - Fulton St,M,Subway,-73.919899,40.868072,2019-07-04,5196
Dyckman St,A,8th Av - Fulton St,M,Subway,-73.927271,40.865491,2019-07-04,3980
190 St,A,8th Av - Fulton St,M,Subway,-73.93418,40.859022,2019-07-04,2559
181 St,A,8th Av - Fulton St,M,Subway,-73.937969,40.851695,2019-07-04,5656
175 St,A,8th Av - Fulton St,M,Subway,-73.939704,40.847391,2019-07-04,7358
163 St - Amsterdam Av,C,8th Av - Fulton St,M,Subway,-73.939892,40.836013,2019-07-04,2688
155 St,C,8th Av - Fulton St,M,Subway,-73.941514,40.830518,2019-07-04,1763
145 St,A C,8th Av - Fulton St,M,Subway,-73.944216,40.824783,2019-07-04,13766
135 St,B C,8th Av - Fulton St,M,Subway,-73.947649,40.817894,2019-07-04,2576
125 St,A B C D,8th Av - Fulton St,M,Subway,-73.952343,40.811109,2019-07-04,17396
116 St,B C,8th Av - Fulton St,M,Subway,-73.954882,40.805085,2019-07-04,3618
Cathedral Pkwy (110 St),B C,8th Av - Fulton St,M,Subway,-73.958161,40.800603,2019-07-04,4482
103 St,B C,8th Av - Fulton St,M,Subway,-73.961454,40.796092,2019-07-04,2944
96 St,B C,8th Av - Fulton St,M,Subway,-73.964696,40.791642,2019-07-04,4040
86 St,B C,8th Av - Fulton St,M,Subway,-73.968916,40.785868,2019-07-04,4701
81 St - Museum of Natural History,B C,8th Av - Fulton St,M,Subway,-73.972143,40.781433,2019-07-04,9493
8 St - NYU,R W,Broadway - Brighton,M,Subway,-73.992629,40.730328,2019-07-04,8905
72 St,B C,8th Av - Fulton St,M,Subway,-73.97641,40.775594,2019-07-04,6271
50 St,C E,8th Av - Fulton St,M,Subway,-73.985984,40.762456,2019-07-04,14175
34 St - Penn Station,A C E,8th Av - Fulton St,M,Subway,-73.993391,40.752287,2019-07-04,60872
23 St,C E,8th Av - Fulton St,M,Subway,-73.998041,40.745906,2019-07-04,10684
W 4 St,A C E,8th Av - Fulton St,M,Subway,-74.000495,40.732338,2019-07-04,24468
Spring St,C E,8th Av - Fulton St,M,Subway,-74.003739,40.726227,2019-07-04,6151
Canal St,A C E,8th Av - Fulton St,M,Subway,-74.005229,40.720824,2019-07-04,8406
Prince St,R W,Broadway - Brighton,M,Subway,-73.997702,40.724329,2019-07-04,7982
High St,A C,8th Av - Fulton St,Bk,Subway,-73.990531,40.699337,2019-07-04,7669
Hoyt - Schermerhorn Sts,A C G,8th Av - Fulton St,Bk,Subway,-73.985001,40.688484,2019-07-04,6465
Lafayette Av,C,8th Av - Fulton St,Bk,Subway,-73.973946,40.686113,2019-07-04,3045
Clinton - Washington Avs,C,8th Av - Fulton St,Bk,Subway,-73.965838,40.683263,2019-07-04,2901
Nostrand Av,A C,8th Av - Fulton St,Bk,Subway,-73.950426,40.680438,2019-07-04,10430
Kingston - Throop Avs,C,8th Av - Fulton St,Bk,Subway,-73.940858,40.679921,2019-07-04,3838
Utica Av,A C,8th Av - Fulton St,Bk,Subway,-73.930729,40.679364,2019-07-04,9604
Ralph Av,C,8th Av - Fulton St,Bk,Subway,-73.920786,40.678822,2019-07-04,3720
Rockaway Av,C,8th Av - Fulton St,Bk,Subway,-73.911946,40.67834,2019-07-04,3351
Liberty Av,C,8th Av - Fulton St,Bk,Subway,-73.896548,40.674542,2019-07-04,1243
Van Siclen Av,C,8th Av - Fulton St,Bk,Subway,-73.890358,40.67271,2019-07-04,1668
Shepherd Av,C,8th Av - Fulton St,Bk,Subway,-73.88075,40.67413,2019-07-04,1676
Euclid Av,A C,8th Av - Fulton St,Bk,Subway,-73.872106,40.675377,2019-07-04,5511
Grant Av,A,Liberty Av,Bk,Subway,-73.86505,40.677044,2019-07-04,3171
80 St,A,Liberty Av,Q,Elevated,-73.858992,40.679371,2019-07-04,2320
88 St,A,Liberty Av,Q,Elevated,-73.85147,40.679843,2019-07-04,1346
Rockaway Blvd,A,Liberty Av,Q,Elevated,-73.843853,40.680429,2019-07-04,4143
104 St,A,Liberty Av,Q,Elevated,-73.837683,40.681711,2019-07-04,817
111 St,A,Liberty Av,Q,Elevated,-73.832163,40.684331,2019-07-04,1050
Ozone Park - Lefferts Blvd,A,Liberty Av,Q,Elevated,-73.825798,40.685951,2019-07-04,3620
Aqueduct Racetrack,A,Rockaway,Q,At Grade,-73.835919,40.672097,2019-07-04,2422
Aqueduct - N Conduit Av,A,Rockaway,Q,At Grade,-73.834058,40.668234,2019-07-04,463
Howard Beach - JFK Airport,A,Rockaway,Q,At Grade,-73.830301,40.660476,2019-07-04,4396
Broad Channel,A S,Rockaway,Q,At Grade,-73.815925,40.608382,2019-07-04,205
Beach 90 St,A S,Rockaway,Q,Viaduct,-73.813641,40.588034,2019-07-04,4068
Beach 98 St,A S,Rockaway,Q,Viaduct,-73.820558,40.585307,2019-07-04,2070
Beach 105 St,A S,Rockaway,Q,Viaduct,-73.827559,40.583209,2019-07-04,2522
Rockaway Park - Beach 116 St,A S,Rockaway,Q,At Grade,-73.835592,40.580903,2019-07-04,3017
Beach 67 St,A,Rockaway,Q,Viaduct,-73.796924,40.590927,2019-07-04,2669
Beach 60 St,A,Rockaway,Q,Viaduct,-73.788522,40.592374,2019-07-04,1508
Beach 44 St,A,Rockaway,Q,Viaduct,-73.776013,40.592943,2019-07-04,437
Beach 36 St,A,Rockaway,Q,Viaduct,-73.768175,40.595398,2019-07-04,630
Beach 25 St,A,Rockaway,Q,Viaduct,-73.761353,40.600066,2019-07-04,963
Far Rockaway - Mott Av,A,Rockaway,Q,Viaduct,-73.755405,40.603995,2019-07-04,2728
Norwood - 205 St,D,Concourse,Bx,Subway,-73.878855,40.874811,2019-07-04,4305
Bedford Park Blvd,B D,Concourse,Bx,Subway,-73.887138,40.873244,2019-07-04,3357
Kingsbridge Rd,B D,Concourse,Bx,Subway,-73.893509,40.866978,2019-07-04,4348
Fordham Rd,B D,Concourse,Bx,Subway,-73.897749,40.861296,2019-07-04,6847
182-183 Sts,B D,Concourse,Bx,Subway,-73.900741,40.856093,2019-07-04,2912
Tremont Av,B D,Concourse,Bx,Subway,-73.905227,40.85041,2019-07-04,5246
174-175 Sts,B D,Concourse,Bx,Subway,-73.910136,40.8459,2019-07-04,2718
170 St,B D,Concourse,Bx,Subway,-73.9134,40.839306,2019-07-04,3863
167 St,B D,Concourse,Bx,Subway,-73.91844,40.833771,2019-07-04,5376
Rector St,R W,Broadway,M,Subway,-74.013342,40.70722,2019-07-04,2316
155 St,B D,Concourse,M,Subway,-73.938209,40.830135,2019-07-04,2238
21 St - Queensbridge,F,63rd St,Q,Subway,-73.942836,40.754203,2019-07-04,5870
Roosevelt Island,F,63rd St,M,Subway,-73.95326,40.759145,2019-07-04,5105
Lexington Av/63 St,F Q,63rd St,M,Subway,-73.966113,40.764629,2019-07-04,8705
57 St,F,6th Av - Culver,M,Subway,-73.97745,40.763972,2019-07-04,7865
47-50 Sts - Rockefeller Ctr,B D F M,6th Av - Culver,M,Subway,-73.981329,40.758663,2019-07-04,19545
23 St,F M,6th Av - Culver,M,Subway,-73.992821,40.742878,2019-07-04,9778
Grand St,B D,6th Av - Culver,M,Subway,-73.993753,40.718267,2019-07-04,15101
2 Av,F,6th Av - Culver,M,Subway,-73.989938,40.723402,2019-07-04,11588
East Broadway,F,6th Av - Culver,M,Subway,-73.990173,40.713715,2019-07-04,8557
York St,F,6th Av - Culver,Bk,Subway,-73.986751,40.701397,2019-07-04,6627
Bergen St,F G,6th Av - Culver,Bk,Subway,-73.990862,40.686145,2019-07-04,5244
Carroll St,F G,6th Av - Culver,Bk,Subway,-73.995048,40.680303,2019-07-04,4594
Smith - 9 Sts,F G,6th Av - Culver,Bk,Viaduct,-73.995959,40.67358,2019-07-04,2658
7 Av,F G,6th Av - Culver,Bk,Subway,-73.980305,40.666271,2019-07-04,5026
15 St - Prospect Park,F G,6th Av - Culver,Bk,Subway,-73.979493,40.660365,2019-07-04,3523
Fort Hamilton Pkwy,F G,6th Av - Culver,Bk,Subway,-73.975776,40.650782,2019-07-04,2665
Church Av,F,6th Av - Culver,Bk,Subway,-73.979678,40.644041,2019-07-04,5725
Ditmas Av,F,6th Av - Culver,Bk,Elevated,-73.978172,40.636119,2019-07-04,2477
18 Av,F,6th Av - Culver,Bk,Elevated,-73.976971,40.629755,2019-07-04,2174
Avenue I,F,6th Av - Culver,Bk,Elevated,-73.976127,40.625322,2019-07-04,1086
Bay Pkwy,F,6th Av - Culver,Bk,Elevated,-73.975264,40.620769,2019-07-04,586
Avenue N,F,6th Av - Culver,Bk,Elevated,-73.974197,40.61514,2019-07-04,1573
Avenue P,F,6th Av - Culver,Bk,Elevated,-73.973022,40.608944,2019-07-04,1368
Kings Hwy,F,6th Av - Culver,Bk,Elevated,-73.972361,40.603217,2019-07-04,1808
Avenue U,F,6th Av - Culver,Bk,Elevated,-73.973357,40.596063,2019-07-04,938
Avenue X,F,6th Av - Culver,Bk,Elevated,-73.97425,40.58962,2019-07-04,1402
Neptune Av,F,6th Av - Culver,Bk,Elevated,-73.974574,40.581011,2019-07-04,707
Jamaica - 179 St,F,Queens Blvd,Q,Subway,-73.783817,40.712646,2019-07-04,7563
169 St,F,Queens Blvd,Q,Subway,-73.793604,40.71047,2019-07-04,4121
Parsons Blvd,F,Queens Blvd,Q,Subway,-73.803326,40.707564,2019-07-04,3525
Sutphin Blvd,F,Queens Blvd,Q,Subway,-73.810708,40.70546,2019-07-04,2158
Briarwood - Van Wyck Blvd,E F,Queens Blvd,Q,Subway,-73.820574,40.709179,2019-07-04,2190
Kew Gardens - Union Tpke,E F,Queens Blvd,Q,Subway,-73.831008,40.714441,2019-07-04,9902
DeKalb Av,B Q R,Broadway - Brighton,Bk,Subway,-73.981824,40.690635,2019-07-04,9844
75 Av,E F,Queens Blvd,Q,Subway,-73.837324,40.718331,2019-07-04,1381
Forest Hills - 71 Av,E F M R,Queens Blvd,Q,Subway,-73.844521,40.721691,2019-07-04,10855
67 Av,M R,Queens Blvd,Q,Subway,-73.852719,40.726523,2019-07-04,3311
63 Dr - Rego Park,M R,Queens Blvd,Q,Subway,-73.861604,40.729846,2019-07-04,6948
Woodhaven Blvd,M R,Queens Blvd,Q,Subway,-73.869229,40.733106,2019-07-04,11540
Grand Av - Newtown,M R,Queens Blvd,Q,Subway,-73.877223,40.737015,2019-07-04,9289
Elmhurst Av,M R,Queens Blvd,Q,Subway,-73.882017,40.742454,2019-07-04,7290
65 St,M R,Queens Blvd,Q,Subway,-73.898453,40.749669,2019-07-04,1747
Northern Blvd,M R,Queens Blvd,Q,Subway,-73.906006,40.752885,2019-07-04,2750
46 St,M R,Queens Blvd,Q,Subway,-73.913333,40.756312,2019-07-04,3986
Steinway St,M R,Queens Blvd,Q,Subway,-73.92074,40.756879,2019-07-04,7295
36 St,M R,Queens Blvd,Q,Subway,-73.928781,40.752039,2019-07-04,1278
Queens Plaza,E M R,Queens Blvd,Q,Subway,-73.937243,40.748973,2019-07-04,5334
5 Av/53 St,E M,Queens Blvd,M,Subway,-73.975224,40.760167,2019-07-04,7911
7 Av,B D E,Queens Blvd,M,Subway,-73.981637,40.762862,2019-07-04,7620
Jamaica Center - Parsons/Archer,E J Z,Queens - Archer,Q,Subway,-73.801109,40.702147,2019-07-04,30802
Sutphin Blvd - Archer Av - JFK Airport,E J Z,Queens - Archer,Q,Subway,-73.807969,40.700486,2019-07-04,14818
Union St,R,4th Av,Bk,Subway,-73.98311,40.677316,2019-07-04,3382
Jamaica - Van Wyck,E,Queens - Archer,Q,Subway,-73.816859,40.702566,2019-07-04,1845
21 St,G,Crosstown,Q,Subway,-73.949724,40.744065,2019-07-04,1006
Greenpoint Av,G,Crosstown,Bk,Subway,-73.954449,40.731352,2019-07-04,4691
Nassau Av,G,Crosstown,Bk,Subway,-73.951277,40.724635,2019-07-04,5058
Broadway,G,Crosstown,Bk,Subway,-73.950308,40.706092,2019-07-04,3188
Flushing Av,G,Crosstown,Bk,Subway,-73.950234,40.700377,2019-07-04,1418
Myrtle - Willoughby Avs,G,Crosstown,Bk,Subway,-73.949046,40.694568,2019-07-04,3384
Bedford - Nostrand Avs,G,Crosstown,Bk,Subway,-73.953522,40.689627,2019-07-04,4861
Classon Av,G,Crosstown,Bk,Subway,-73.96007,40.688873,2019-07-04,3061
Clinton - Washington Avs,G,Crosstown,Bk,Subway,-73.966839,40.688089,2019-07-04,2241
Fulton St,G,Crosstown,Bk,Subway,-73.975375,40.687119,2019-07-04,3285
Van Cortlandt Park - 242 St,1,Broadway - 7Av,Bx,Elevated,-73.898583,40.889248,2019-07-04,3879
238 St,1,Broadway - 7Av,Bx,Elevated,-73.90087,40.884667,2019-07-04,1976
231 St,1,Broadway - 7Av,Bx,Elevated,-73.904834,40.878856,2019-07-04,5104
Marble Hill - 225 St,1,Broadway - 7Av,M,Elevated,-73.909831,40.874561,2019-07-04,2805
215 St,1,Broadway - 7Av,M,Elevated,-73.915279,40.869444,2019-07-04,762
207 St,1,Broadway - 7Av,M,Elevated,-73.918822,40.864621,2019-07-04,3546
Dyckman St,1,Broadway - 7Av,M,Elevated,-73.925536,40.860531,2019-07-04,4050
30 Av,N W,Astoria,Q,Elevated,-73.921479,40.766779,2019-07-04,8774
Prospect Av,R,4th Av,Bk,Subway,-73.992872,40.665414,2019-07-04,2445
191 St,1,Broadway - 7Av,M,Subway,-73.929412,40.855225,2019-07-04,4407
181 St,1,Broadway - 7Av,M,Subway,-73.933596,40.849505,2019-07-04,6648
157 St,1,Broadway - 7Av,M,Subway,-73.94489,40.834041,2019-07-04,6572
145 St,1,Broadway - 7Av,M,Subway,-73.95036,40.826551,2019-07-04,5985
137 St - City College,1,Broadway - 7Av,M,Subway,-73.953676,40.822008,2019-07-04,6578
125 St,1,Broadway - 7Av,M,Elevated,-73.958372,40.815581,2019-07-04,4543
116 St - Columbia University,1,Broadway - 7Av,M,Subway,-73.96411,40.807722,2019-07-04,4910
Cathedral Pkwy,1,Broadway - 7Av,M,Subway,-73.966847,40.803967,2019-07-04,6901
103 St,1,Broadway - 7Av,M,Subway,-73.968379,40.799446,2019-07-04,7190
25 St,R,4th Av,Bk,Subway,-73.998091,40.660397,2019-07-04,1811
96 St,1 2 3,Broadway - 7Av,M,Subway,-73.972323,40.793919,2019-07-04,18817
86 St,1,Broadway - 7Av,M,Subway,-73.976218,40.788644,2019-07-04,8438
79 St,1,Broadway - 7Av,M,Subway,-73.979917,40.783934,2019-07-04,7901
72 St,1 2 3,Broadway - 7Av,M,Subway,-73.98197,40.778453,2019-07-04,18714
66 St - Lincoln Center,1,Broadway - 7Av,M,Subway,-73.982209,40.77344,2019-07-04,11974
50 St,1,Broadway - 7Av,M,Subway,-73.983849,40.761728,2019-07-04,12406
34 St - Penn Station,1 2 3,Broadway - 7Av,M,Subway,-73.991057,40.750373,2019-07-04,13113
28 St,1,Broadway - 7Av,M,Subway,-73.993365,40.747215,2019-07-04,5315
36 St,D N R,4th Av,Bk,Subway,-74.003549,40.655144,2019-07-04,5802
23 St,1,Broadway - 7Av,M,Subway,-73.995657,40.744081,2019-07-04,6204
18 St,1,Broadway - 7Av,M,Subway,-73.997871,40.74104,2019-07-04,2733
Christopher St - Sheridan Sq,1,Broadway - 7Av,M,Subway,-74.002906,40.733422,2019-07-04,7353
Houston St,1,Broadway - 7Av,M,Subway,-74.005367,40.728251,2019-07-04,3834
Canal St,1,Broadway - 7Av,M,Subway,-74.006277,40.722854,2019-07-04,2176
Franklin St,1,Broadway - 7Av,M,Subway,-74.006886,40.719318,2019-07-04,501
Chambers St,1 2 3,Broadway - 7Av,M,Subway,-74.009266,40.715478,2019-07-04,5907
WTC Cortlandt,1,Broadway - 7Av,M,Subway,-74.012188,40.711835,2019-07-04,7203
Rector St,1,Broadway - 7Av,M,Subway,-74.013783,40.707513,2019-07-04,3651
45 St,R,4th Av,Bk,Subway,-74.010006,40.648939,2019-07-04,4641
Wall St,2 3,Clark St,M,Subway,-74.0091,40.706821,2019-07-04,7326
Clark St,2 3,Clark St,Bk,Subway,-73.993086,40.697466,2019-07-04,3139
Hoyt St,2 3,Eastern Pky,Bk,Subway,-73.985065,40.690545,2019-07-04,3786
Nevins St,2 3 4 5,Eastern Pky,Bk,Subway,-73.980492,40.688246,2019-07-04,4500
Bergen St,2 3,Eastern Pky,Bk,Subway,-73.975098,40.680829,2019-07-04,1759
53 St,R,4th Av,Bk,Subway,-74.014034,40.645069,2019-07-04,5583
Grand Army Plaza,2 3,Eastern Pky,Bk,Subway,-73.971046,40.675235,2019-07-04,3742
Eastern Pkwy - Brooklyn Museum,2 3,Eastern Pky,Bk,Subway,-73.964375,40.671987,2019-07-04,1064
Kingston Av,3,Eastern Pky,Bk,Subway,-73.942161,40.669399,2019-07-04,2977
Crown Hts - Utica Av,3 4,Eastern Pky,Bk,Subway,-73.932942,40.668897,2019-07-04,13060
Sutter Av - Rutland Rd,3,Eastern Pky,Bk,Elevated,-73.92261,40.664717,2019-07-04,3371
Saratoga Av,3,Eastern Pky,Bk,Elevated,-73.916327,40.661453,2019-07-04,2522
